Time resolution is 1 ps
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 2038438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 2048438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 2058438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 2068438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk170_47700 at time 2078438 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[5]_rep__0/TChk168_47698 at time 2088419 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[1]_rep__1_lopt_replica/TChk168_47698 at time 2088438 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
WARNING: "C:/Xilinx/Vivado/2022.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /tb_top/dut/din_a_reg[6]/TChk168_47698 at time 2088452 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly) 
[6703000] DONE_STORE!
$finish called at time : 6782568 ps : File "C:/Hung/Viettel/Stage2/ML-KEM/NTT/tb_top.v" Line 125
INFO: xsimkernel Simulation Memory Usage: 404624 KB (Peak: 404624 KB), Simulation CPU Usage: 137203 ms
